Chromosome	Start	End	Closest Gene	Locaiton	Distance To Gene's TSS
Chr1	20158147	20158221	AT1G54000	Gene_Upstream	-1765
Chr1	11621137	11621290	AT1G32230	Gene_Downstream	4995
Chr1	8887127	8887634	AT1G25340	Gene_Downstream	982
Chr1	27090575	27090630	AT1G71960	Gene_Upstream	-2354
Chr1	25397249	25397565	AT1G67740	Gene_Upstream	-2253
Chr1	24992459	24992535	AT1G66960	Gene_Upstream	-2700
Chr1	10953460	10953718	AT1G30820	Gene_Upstream	-4131
Chr1	21045563	21045699	AT1G56220	Gene_Downstream	893
Chr1	4663596	4663724	AT1G13609	Gene_Downstream	441
Chr1	9256932	9257087	AT1G26770	Gene_Upstream	-2596
Chr1	28675423	28675652	AT1G76420	Gene_Upstream	-1603
Chr1	9266532	9266626	AT1G26773	Gene_Downstream	1999
Chr1	11013943	11013985	AT1G30930	Gene_Downstream	819
Chr1	26211777	26211935	AT1G69690	Gene_Upstream	-4368
Chr1	6853298	6853349	AT1G19830	Gene_Downstream	451
Chr1	7106599	7106720	AT1G20510	Gene_Upstream	-778
Chr1	8192842	8192946	AT1G23100	Gene_Upstream	-2882
Chr1	9267908	9268201	AT1G26780	Gene_Upstream	-2975
Chr1	25987842	25988139	AT1G69120	Gene_Upstream	-1677
Chr1	6634997	6635312	AT1G19220	Gene_Upstream	-2067
Chr1	13999390	13999536	AT1G36940	Gene_Upstream	-4403
Chr1	25627010	25627115	AT1G68360	Gene_Upstream	-4650
Chr1	29004205	29004279	AT1G77200	Gene_Downstream	115
Chr1	16845094	16845173	AT1G44414	Gene_Upstream	-2648
Chr1	14304132	14304321	AT1G38131	Gene_Upstream	-8035
Chr1	8021767	8021845	AT1G22670	Gene_Downstream	48
Chr1	28665316	28665421	AT1G76410	Gene_Upstream	-3480
Chr1	12132607	12132636	AT1G33440	Gene_Upstream	-2214
Chr1	8141836	8141952	AT1G23000	Gene_Upstream	-1510
Chr1	9509088	9509109	AT1G27370	Gene_Upstream	-617
Chr1	4300156	4300540	AT1G12630	Gene_Downstream	873
Chr1	27891466	27891508	AT1G74170	Gene_Downstream	7
Chr1	7636755	7636928	AT1G21738	Gene_Downstream	4161
Chr1	11491653	11491844	AT1G31990	Gene_Downstream	2461
Chr1	20496841	20496903	AT1G54960	Gene_Upstream	-3078
Chr1	9256103	9256134	AT1G26762	Gene_Downstream	1951
Chr1	4060713	4060771	AT1G12020	Gene_Downstream	1720
Chr1	25470894	25470983	AT1G67910	Gene_Downstream	350
Chr1	25740260	25740321	AT1G68560	Gene_Upstream	-2288
Chr1	4006839	4006853	AT1G11870	Gene_Downstream	107
Chr1	16990215	16990254	AT1G44940	Gene_Upstream	-3921
Chr1	9917144	9917360	AT1G28310	Gene_Upstream	-3415
Chr1	21457434	21457778	AT1G58025	Gene_Downstream	61
Chr1	23603272	23603911	AT1G63660	Gene_Downstream	344
Chr1	3903748	3904113	AT1G11608	Gene_Upstream	-1649
Chr1	27037503	27037846	AT1G71870	Gene_Upstream	-2779
Chr1	4031130	4031152	AT1G11930	Gene_Downstream	557
Chr1	28899080	28899113	AT1G76930	Gene_Upstream	-2213
Chr1	6613946	6614202	AT1G19160	Gene_Downstream	88
Chr1	29132357	29132594	AT1G77525	Gene_Downstream	1479
Chr1	10162672	10162714	AT1G29090	Gene_Downstream	290
Chr1	28474029	28474196	AT1G75840	Gene_Upstream	-1595
Chr1	18127671	18127815	AT1G49000	Gene_Upstream	-3578
Chr1	3885813	3885959	AT1G11572	Gene_Downstream	934
Chr1	19583348	19583421	AT1G52565	Gene_Upstream	-2698
Chr1	29510992	29511014	AT1G78430	Gene_Downstream	108
Chr1	26100606	26100990	AT1G69430	Gene_Downstream	1410
Chr1	9975994	9976099	AT1G28400	Gene_Upstream	-2253
Chr1	15923688	15923888	AT1G42470	Gene_Upstream	-3199
Chr1	16805674	16805720	AT1G44180	Gene_Downstream	2256
Chr1	12132761	12132916	AT1G33440	Gene_Upstream	-2431
Chr1	28900236	28900397	AT1G76930	Gene_Upstream	-3433
Chr1	18127144	18127216	AT1G49000	Gene_Upstream	-3015
Chr1	25579202	25579317	AT1G68250	Gene_Downstream	114
Chr1	8493098	8493540	AT1G24000	Gene_Downstream	2738
Chr1	27794997	27795067	AT1G73930	Gene_Downstream	88
Chr1	10354476	10354520	AT1G29640	Gene_Downstream	1205
Chr1	29133164	29133339	AT1G77525	Gene_Downstream	703
Chr1	21059534	21059728	AT1G56240	Gene_Upstream	-2054
Chr1	24627967	24628098	AT1G66145	Gene_Downstream	498
Chr1	10725834	10726083	AT1G30400	Gene_Upstream	-1680
Chr1	25846046	25846140	AT1G68800	Gene_Downstream	973
Chr1	11326016	11326110	AT1G31640	Gene_Upstream	-1887
Chr1	4030901	4031044	AT1G11930	Gene_Downstream	388
Chr1	23479014	23479138	AT1G63300	Gene_Upstream	-3117
Chr1	23924501	23924765	AT1G64405	Gene_Downstream	297
Chr1	17476756	17476892	AT1G47570	Gene_Upstream	-1831
Chr1	23875099	23875256	AT1G64340	Gene_Upstream	-2948
Chr1	8231359	8231595	AT1G23201	Gene_Downstream	702
Chr1	16417803	16417959	AT1G43600	Gene_Downstream	1859
Chr1	4938354	4938507	AT1G14440	Gene_Downstream	394
Chr1	4832753	4833105	AT1G14120	Gene_Downstream	589
Chr1	22631964	22632046	AT1G61350	Gene_Upstream	-1877
Chr1	4213002	4213473	AT1G12380	Gene_Downstream	1025
Chr1	6233550	6233867	AT1G18130	Gene_Upstream	-2187
Chr1	26741344	26741474	AT1G70940	Gene_Upstream	-1645
Chr1	7536807	7536977	AT1G21520	Gene_Upstream	-2103
Chr1	25912641	25912753	AT1G68910	Gene_Upstream	-1589
Chr1	5644024	5644118	AT1G16510	Gene_Downstream	501
Chr1	18059405	18059626	AT1G48830	Gene_Downstream	121
Chr1	24739393	24739480	AT1G66345	Gene_Downstream	83
Chr1	20193942	20194055	AT1G54095	Gene_Downstream	131
Chr1	22822660	22822844	AT1G61800	Gene_Upstream	-1688
Chr1	21126372	21126510	AT1G56420	Gene_Upstream	-2207
Chr1	28244111	28244236	AT1G75250	Gene_Downstream	144
Chr1	26750893	26751014	AT1G70944	Gene_Upstream	-1700
Chr1	3580892	3580978	AT1G10750	Gene_Upstream	-2461
Chr1	26010828	26011070	AT1G69180	Gene_Upstream	-1890
Chr1	8179512	8179536	AT1G23074	Gene_Downstream	1528
Chr1	28228940	28229222	AT1G75220	Gene_Downstream	76
Chr1	25188229	25188287	AT1G67270	Gene_Upstream	-2319
Chr1	3868667	3868812	AT1G11490	Gene_Downstream	145
Chr1	23394706	23394774	AT1G63090	Gene_Upstream	-1889
Chr1	29031354	29031422	AT1G77270	Gene_Downstream	103
Chr1	23724727	23724827	AT1G63910	Gene_Upstream	-3003
Chr1	18034121	18034298	AT1G48750	Gene_Upstream	-1758
Chr1	10151411	10151475	AT1G29070	Gene_Downstream	83
Chr1	6795698	6796192	AT1G19650	Gene_Downstream	257
Chr1	19141804	19141904	AT1G51620	Gene_Downstream	67
Chr1	24003897	24004107	AT1G64610	Gene_Upstream	-2052
Chr1	20178161	20178206	AT1G54050	Gene_Downstream	1239
Chr1	9893901	9893944	AT1G28290	Gene_Upstream	-2929
Chr1	12096051	12096159	AT1G33360	Gene_Downstream	80
Chr1	17762955	17763022	AT1G48095	Gene_Downstream	990
Chr1	19083690	19083912	AT1G51460	Gene_Upstream	-2368
Chr1	6425886	6425952	AT1G18670	Gene_Downstream	979
Chr1	8034859	8034970	AT1G22710	Gene_Upstream	-1797
Chr1	26207520	26207644	AT1G69680	Gene_Downstream	654
Chr1	1525382	1525546	AT1G05250	Gene_Downstream	137
Chr1	11523086	11523102	AT1G32050	Gene_Upstream	-5351
Chr1	7386274	7386928	AT1G21100	Gene_Downstream	238
Chr1	6016762	6016878	AT1G17500	Gene_Upstream	-1937
Chr1	26445962	26446079	AT1G70220	Gene_Downstream	116
Chr1	10904831	10904869	AT1G30750	Gene_Downstream	57
Chr1	25681337	25681422	AT1G68470	Gene_Upstream	-3091
Chr1	22924104	22924205	AT1G62030	Gene_Downstream	96
Chr1	11497664	11497812	AT1G31990	Gene_Downstream	8451
Chr1	1496186	1496229	AT1G05170	Gene_Upstream	-1959
Chr1	21738582	21738747	AT1G58602	Gene_Upstream	-7690
Chr1	24259439	24259543	AT1G65310	Gene_Downstream	1018
Chr1	20746601	20746670	AT1G55550	Gene_Upstream	-2280
Chr1	6670794	6671160	AT1G19300	Gene_Downstream	160
Chr1	23366907	23367001	AT1G63030	Gene_Downstream	453
Chr1	10951593	10951907	AT1G30820	Gene_Upstream	-2292
Chr1	1282255	1282565	AT1G04610	Gene_Downstream	792
Chr1	21041279	21041472	AT1G56220	Gene_Upstream	-1973
Chr1	6393966	6394064	AT1G18580	Gene_Upstream	-1849
Chr1	594416	594537	AT1G02720	Gene_Downstream	240
Chr1	26173718	26173836	AT1G69580	Gene_Downstream	165
Chr1	27362558	27362715	AT1G72690	Gene_Downstream	717
Chr1	23041582	23041725	AT1G62310	Gene_Upstream	-2044
Chr1	1915125	1915265	AT1G06250	Gene_Upstream	-300
Chr1	25991451	25991539	AT1G69150	Gene_Downstream	2164
Chr1	7857140	7857301	AT1G22250	Gene_Upstream	-1644
Chr1	9520826	9520845	AT1G27420	Gene_Downstream	315
Chr1	17859229	17859403	AT1G48325	Gene_Downstream	1594
Chr1	5675321	5675440	AT1G16590	Gene_Downstream	249
Chr1	27359499	27359598	AT1G72670	Gene_Upstream	-695
Chr1	12251826	12252026	AT1G33790	Gene_Upstream	-4738
Chr1	17861727	17861840	AT1G48330	Gene_Upstream	-2054
Chr1	7945475	7945718	AT1G22500	Gene_Upstream	-3880
Chr1	10479036	10479154	AT1G29930	Gene_Downstream	47
Chr1	4372801	4372887	AT1G12820	Gene_Upstream	-1551
Chr1	18845951	18845982	AT1G50840	Gene_Downstream	1407
Chr1	23025301	23025409	AT1G62305	Gene_Downstream	1421
Chr1	6777329	6777644	AT1G19600	Gene_Upstream	-1502
Chr1	4431115	4431287	AT1G12980	Gene_Downstream	236
Chr1	25536233	25536392	AT1G68130	Gene_Downstream	1726
Chr1	9173461	9173634	AT1G26550	Gene_Downstream	607
Chr1	3548416	3548437	AT1G10690	Gene_Downstream	1566
Chr1	10518668	10518901	AT1G30016	Gene_Downstream	2336
Chr1	17501578	17501717	AT1G47610	Gene_Upstream	-3136
Chr1	2359374	2359579	AT1G07640	Gene_Upstream	-3249
Chr1	26159524	26159650	AT1G69560	Gene_Downstream	493
Chr1	23213247	23213503	AT1G62690	Gene_Upstream	-1986
Chr1	18774524	18774992	AT1G50670	Gene_Downstream	98
Chr1	27770299	27770678	AT1G73850	Gene_Downstream	31
Chr1	26959452	26959510	AT1G71692	Gene_Upstream	-4354
Chr1	11710051	11710302	AT1G32440	Gene_Upstream	-1986
Chr1	8012869	8012929	AT1G22650	Gene_Downstream	483
Chr1	10794157	10794279	AT1G30475	Gene_Upstream	-4093
Chr1	16847953	16848253	AT1G44414	Gene_Downstream	17
Chr1	18755766	18756006	AT1G50630	Gene_Upstream	-2217
Chr1	22135342	22135541	AT1G60060	Gene_Upstream	-3743
Chr1	11112626	11112952	AT1G31130	Gene_Downstream	1912
Chr1	19653719	19653801	AT1G52770	Gene_Upstream	-2079
Chr1	9617631	9617813	AT1G27640	Gene_Upstream	-2816
Chr1	1134557	1134691	AT1G04250	Gene_Upstream	-1634
Chr1	19696771	19696883	AT1G52890	Gene_Downstream	177
Chr1	22880759	22880895	AT1G61900	Gene_Downstream	1388
Chr1	6447350	6447410	AT1G18710	Gene_Upstream	-3214
Chr1	21380514	21380585	AT1G57730	Gene_Downstream	309
Chr1	2666027	2666181	AT1G08440	Gene_Downstream	761
Chr1	13316663	13316833	AT1G35830	Gene_Downstream	4466
Chr1	24259113	24259194	AT1G65310	Gene_Downstream	680
Chr1	17762797	17762840	AT1G48095	Gene_Downstream	820
Chr1	4457305	4457503	AT1G13080	Gene_Upstream	-1762
Chr1	11685462	11685977	AT1G32380	Gene_Downstream	1241
Chr1	26668316	26668814	AT1G70720	Gene_Downstream	1361
Chr1	22890037	22890271	AT1G61920	Gene_Downstream	1117
Chr1	12506215	12506284	AT1G34300	Gene_Downstream	201
Chr1	9097931	9098000	AT1G26290	Gene_Upstream	-19
Chr1	10567412	10567527	AT1G30100	Gene_Upstream	-3871
Chr1	29370913	29371108	AT1G78090	Gene_Upstream	-2879
Chr1	24575425	24575471	AT1G66000	Gene_Downstream	10
Chr1	7637347	7637427	AT1G21738	Gene_Downstream	3615
Chr1	25872259	25872385	AT1G68825	Gene_Upstream	-1902
Chr1	3520940	3521322	AT1G10640	Gene_Upstream	-3243
Chr1	21955995	21956148	AT1G59730	Gene_Upstream	-2615
Chr1	12967403	12967676	AT1G35330	Gene_Downstream	1426
Chr1	7660411	7660518	AT1G21810	Gene_Upstream	-1830
Chr1	10613924	10614069	AT1G30170	Gene_Upstream	-4378
Chr1	28385834	28385905	AT1G75590	Gene_Upstream	-2101
Chr1	18856751	18857034	AT1G50870	Gene_Downstream	555
Chr1	24922749	24922855	AT1G66800	Gene_Upstream	-2011
Chr1	1942235	1942471	AT1G06360	Gene_Upstream	-1894
Chr1	9267148	9267343	AT1G26773	Gene_Downstream	2665
Chr1	26134405	26134531	AT1G69526	Gene_Downstream	1272
Chr1	10119476	10119600	AT1G29010	Gene_Downstream	453
Chr1	12482205	12482348	AT1G34260	Gene_Upstream	-3691
Chr1	2145531	2145645	AT1G06980	Gene_Upstream	-1767
Chr1	18297402	18297466	AT1G49435	Gene_Downstream	1996
Chr1	9256760	9256803	AT1G26770	Gene_Upstream	-2824
Chr1	29880912	29881143	AT1G79430	Gene_Upstream	-1821
Chr1	8252123	8252227	AT1G23240	Gene_Downstream	540
Chr1	22895930	22896188	AT1G61940	Gene_Downstream	1340
Chr1	17446585	17446719	AT1G47530	Gene_Upstream	-5028
Chr1	24289640	24289694	AT1G65390	Gene_Upstream	-2811
Chr1	10668707	10668726	AT1G30290	Gene_Downstream	1604
Chr1	2920931	2920949	AT1G09050	Gene_Downstream	51
Chr1	24404428	24404673	AT1G65630	Gene_Downstream	1992
Chr1	13466741	13466984	AT1G36070	Gene_Downstream	49
Chr1	4698144	4698352	AT1G13700	Gene_Upstream	-2225
Chr1	23123506	23123655	AT1G62480	Gene_Upstream	-5125
Chr1	17282460	17282708	AT1G47128	Gene_Downstream	241
Chr1	26519817	26519954	AT1G70370	Gene_Upstream	-4697
Chr1	3094947	3095093	AT1G09560	Gene_Downstream	156
Chr1	21603753	21603908	AT1G58260	Gene_Upstream	-1922
Chr1	22088207	22088297	AT1G59990	Gene_Downstream	1986
Chr1	16116163	16116244	AT1G42960	Gene_Upstream	-9579
Chr1	27175501	27175845	AT1G72210	Gene_Upstream	-4117
Chr1	17696455	17696660	AT1G47990	Gene_Upstream	-2098
Chr1	10667535	10667833	AT1G30280	Gene_Upstream	-3016
Chr1	25403843	25404122	AT1G67760	Gene_Downstream	1598
Chr1	10874041	10874220	AT1G30660	Gene_Upstream	-2723
Chr1	21690750	21690816	AT1G58380	Gene_Downstream	527
Chr1	25537730	25538000	AT1G68140	Gene_Downstream	1080
Chr1	9094406	9094601	AT1G26270	Gene_Upstream	-2046
Chr1	7515016	7515179	AT1G21460	Gene_Upstream	-1736
Chr1	12641058	12641149	AT1G34540	Gene_Downstream	2553
Chr1	26517967	26518057	AT1G70370	Gene_Upstream	-2824
Chr1	23965049	23965164	AT1G64540	Gene_Upstream	-1803
Chr1	17916156	17916400	AT1G48480	Gene_Upstream	-2113
Chr1	9257710	9257872	AT1G26770	Gene_Upstream	-1814
Chr1	9239801	9239872	AT1G26730	Gene_Upstream	-1599
Chr1	23784447	23784922	AT1G64080	Gene_Downstream	337
Chr1	20778575	20778626	AT1G55600	Gene_Upstream	-2306
Chr1	19779527	19779617	AT1G53070	Gene_Downstream	199
Chr1	4426332	4426511	AT1G12970	Gene_Downstream	632
Chr1	17763501	17763853	AT1G48100	Gene_Upstream	-3197
Chr1	25627602	25627874	AT1G68360	Gene_Upstream	-5326
Chr1	19897934	19898211	AT1G53330	Gene_Downstream	630
Chr1	7461695	7461856	AT1G21320	Gene_Downstream	1059
Chr1	13167483	13167544	AT1G35630	Gene_Upstream	-3001
Chr1	18956423	18956806	AT1G51170	Gene_Upstream	-1722
Chr1	23694745	23694968	AT1G63850	Gene_Upstream	-2106
Chr1	18522663	18522781	AT1G50020	Gene_Upstream	-1027
Chr1	16861867	16862040	AT1G44542	Gene_Downstream	3017
Chr1	29132832	29132853	AT1G77525	Gene_Downstream	1112
Chr1	26100181	26100347	AT1G69430	Gene_Downstream	876
Chr1	7152379	7152564	AT1G20640	Gene_Upstream	-1939
Chr1	2236112	2236471	AT1G07280	Gene_Upstream	-1796
Chr1	17209337	17209423	AT1G45976	Gene_Downstream	8645
Chr1	25351147	25351266	AT1G67635	Gene_Downstream	822
Chr1	27510992	27511174	AT1G73165	Gene_Upstream	-2134
Chr1	9634779	9634947	AT1G27690	Gene_Upstream	-1731
Chr1	27306913	27307024	AT1G72520	Gene_Upstream	-1547
Chr1	8888144	8888233	AT1G25340	Gene_Downstream	1790
Chr1	19692518	19692741	AT1G52880	Gene_Upstream	-2087
Chr1	25744024	25744132	AT1G68570	Gene_Upstream	-2658
Chr1	10968125	10968305	AT1G30840	Gene_Upstream	-6230
Chr1	27884307	27884604	AT1G74160	Gene_Upstream	-1971
